0,8,25,39,57,74,102,140,200,0.0000308,0.00005559,0.00008915,0.00012069,0.00015617,0.00021742,0.0003008,0.00054147,0.00084784,4.1992,46.489,48.554,50.413,52.346,54.344,76.453,96.12,117.4,0
34,58,76,92,107,123,139,160,193,0.0000327,0.00006469,0.00010059,0.00014101,0.00017771,0.00022861,0.00033987,0.00061929,0.00087585,2.7347,42.882,44.931,50.833,60.48,66.034,70.12,73.832,76.311,0
0,9.8,26,41,59,78,96,119,152,0.0000285,0.00005890,0.00008463,0.00012268,0.0001793,0.00023072,0.00032952,0.00047018,0.00080497,0.88276,41.284,48.906,52.659,54.788,60.167,64.346,68.126,72.293,0
62,83,99,112,122,134,147,163,184,0.0000344,0.00006119,0.00009336,0.00011425,0.00014522,0.00018668,0.00023985,0.00032097,0.00044195,2.7382,19.381,31.192,34.767,35.126,37.156,41.044,46.897,50.91,0
9,23,31,43,56,70,88,114,159,0.0000312,0.00005264,0.00008520,0.000118,0.00015725,0.00021101,0.00028817,0.00040194,0.00057868,8.5247,27.542,35.247,37.236,39.105,41.06,48.937,56.747,60.77,0
73,93,110,123,134,145,157,172,190,0.0000231,0.00006371,0.00010375,0.00013384,0.00017564,0.00023477,0.0003435,0.00052399,0.00080676,13.737,33.22,39.394,46.684,52.808,56.792,60.778,64.463,68.394,0
10,20,25,31,39,48,65,90,132,0.0000502,0.00010860,0.00015631,0.00020205,0.00024775,0.00030086,0.00037159,0.00047187,0.00059133,7.679,31.251,44.534,48.481,54.523,56.648,61.898,66.577,70.276,0
50,75,92,109,122,139,157,177,206,0.0000203,0.00003759,0.00005796,8.96E-05,0.00012761,0.00016275,0.00020211,0.00024366,0.00034109,2.7344,19.539,35.292,37.121,38.709,39.272,54.302,56.489,58.71,0
19,38,57,74,90,106,125,149,184,0.0000336,0.00005659,0.00007177,9.70E-05,0.00012164,0.00014404,0.00017631,0.00027947,0.0004655,2.7346,23.164,36.72,38.676,38.933,40.634,42.585,46.512,48.699,0
61,81,96,110,122,135,147,161,182,0.0000219,0.00004092,0.00006241,8.69E-05,0.00011939,0.00014962,0.00019979,0.00026779,0.00036968,2.7344,17.718,34.801,37.004,39.045,41.159,48.86,56.663,60.577,0
5,19,27,35,45,55,69,93,131,0.0000269,0.00005699,0.00008957,0.00012179,0.00016176,0.00022023,0.00029959,0.00045384,0.00071635,4.1853,37.478,44.941,49.281,54.688,56.679,58.594,60.482,62.726,0
78,98,113,127,138,149,162,176,198,0.0000244,0.00005194,0.00008137,0.00012119,0.00016224,0.00019923,0.00025337,0.00034514,0.00085003,19.457,25.819,32.84,34.78,35.435,37.025,38.679,40.639,42.832,0
11,29,47,64,79,100,123,148,183,0.0000165,0.00003747,0.00007894,0.00012665,0.00015909,0.00021404,0.0002756,0.00042949,0.00067387,4.4605,27.851,38.936,42.656,42.988,44.945,50.715,52.736,55.635,0
78,100,115,126,137,150,161,176,196,0.0000287,0.00005226,0.00008514,0.00012487,0.00017144,0.00023905,0.0003324,0.00046703,0.00078143,23.846,35.046,37.146,41.019,42.617,44.549,46.486,48.846,52.823,0
13,26,37,52,70,90,111,131,158,0.0000381,0.00007387,0.00010422,0.00013669,0.00017549,0.00023699,0.00031918,0.00048676,0.00079473,15.243,39.065,41.508,44.597,46.525,48.451,50.398,52.577,60.585,0
74,92,106,118,128,141,153,166,185,0.0000359,0.00006610,0.00010946,0.00016247,0.00021744,0.00027498,0.0003491,0.00047521,0.00069589,15.966,33.531,37.11,39.079,41.018,43.031,46.96,54.719,64.455,0
11,22,30,39,51,64,83,106,141,0.0000313,0.00006416,0.00008745,0.0001116,0.00014278,0.00020413,0.00026931,0.00044229,0.00096059,2.7413,41.911,45.058,46.94,48.918,52.817,54.787,58.576,70.152,0
56,81,98,116,130,145,163,183,207,0.0000374,0.00006097,0.00008723,0.00011632,0.00014707,0.0001816,0.0002293,0.00028658,0.00047594,3.086,21.912,34.855,37.204,39.125,41.043,42.638,45.991,56.893,0
12,34,50,66,80,96,113,134,172,0.0000295,0.00004372,0.00006666,9.47E-05,0.00012422,0.00016291,0.00023299,0.0003336,0.0004969,0,29.421,38.717,40.649,40.894,42.871,48.498,50.653,54.671,0
75,96,109,123,134,145,158,172,190,0.0000364,0.00007567,0.00010851,0.0001568,0.00020771,0.00025893,0.00032824,0.00039977,0.00057561,7.8169,19.575,29.865,36.016,37.124,39.088,41.029,43.403,52.172,0
